Timestamp,Actor,Target,Spell,White Damage,White Crit,Yellow Damage,Yellow Crit,Buffer Income,Expected Buffer,Observed Tick,Expected Tick,Metric,Value
5/13 15:46:18.561,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Whirlwind,118.0,0,1082.0,1,271.35,705.51,,,,
5/13 15:46:19.209,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,197.0,nil,0,986.1562500000002,197.0,197.23125000000005,,
5/13 15:46:19.432,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,0000000000000000,569.0,nil,1.0,,,,,,,
5/13 15:46:19.630,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,118.0,nil,0,587.925,118.0,117.585,,
5/13 15:46:19.630,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,46.0,nil,0,226.12500000000003,46.0,45.225,,
5/13 15:46:20.165,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,197.0,nil,0,788.9250000000002,197.0,197.23125000000005,,
5/13 15:46:21.071,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,45.0,nil,0,180.90000000000003,45.0,45.225,,
5/13 15:46:21.071,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,117.0,nil,0,470.34,117.0,117.585,,
5/13 15:46:21.071,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee OH Crit,732.0,1,1.0,,271.35,1060.275,,,,
5/13 15:46:21.071,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Bloodthirst,118.0,0,1361.0,nil,,,,,,
5/13 15:46:21.619,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,45.0,nil,0,135.67500000000004,45.0,45.225,,
5/13 15:46:21.619,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,118.0,nil,0,352.755,118.0,117.585,,
5/13 15:46:21.726,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,177.0,nil,0,883.5625000000001,177.0,176.7125,,
5/13 15:46:21.860,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee MH Crit,1171.0,1,1.0,,434.16,1317.7225,,,,
5/13 15:46:22.590,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,117.0,nil,0,235.17000000000002,117.0,117.585,,
5/13 15:46:22.590,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,45.0,nil,0,90.45000000000005,45.0,45.225,,
5/13 15:46:22.984,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,219.0,nil,0,1098.1020833333334,219.0,219.62041666666667,,
5/13 15:46:23.217,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,0000000000000000,351.0,nil,1.0,,,,,,,
5/13 15:46:23.604,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,45.0,nil,0,45.225000000000044,45.0,45.225,,
5/13 15:46:23.604,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,117.0,nil,0,117.58500000000002,117.0,117.585,,
5/13 15:46:23.981,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,220.0,nil,0,878.4816666666668,220.0,219.62041666666667,,
5/13 15:46:24.385,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee MH Crit,1173.0,1,1.0,,434.16,1312.6416666666669,,,,
5/13 15:46:24.603,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,45.0,nil,0,4.263256414560601e-14,45.0,45.225,,
5/13 15:46:24.603,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,118.0,nil,0,2.842170943040401e-14,118.0,117.585,,
5/13 15:46:24.841,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Bloodthirst,118.0,0,1360.0,nil,,,,,,
5/13 15:46:25.491,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,219.0,nil,0,1093.8680555555557,219.0,218.77361111111114,,
5/13 15:46:26.493,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,219.0,nil,0,875.0944444444445,219.0,218.77361111111114,,
5/13 15:46:26.596,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Whirlwind,118.0,0,1732.0,1,434.16,1309.2544444444445,,,,
5/13 15:46:26.596,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Whirlwind,118.0,0,1732.0,1,434.16,434.1600000000001,,,,
5/13 15:46:26.596,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Whirlwind,118.0,0,476.0,nil,,,,,,
5/13 15:46:26.596,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Whirlwind,118.0,0,476.0,nil,,,,,,
5/13 15:46:26.989,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee MH Crit,926.0,1,1.0,,434.16,1743.4144444444446,,,,
5/13 15:46:27.638,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,72.0,nil,0,361.80000000000007,72.0,72.36000000000001,,
5/13 15:46:28.033,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,290.0,nil,0,1452.8453703703706,290.0,290.5690740740741,,
5/13 15:46:28.628,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,73.0,nil,0,289.44000000000005,73.0,72.36000000000001,,
5/13 15:46:28.842,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Bloodthirst,118.0,0,1078.0,nil,,,,,,
5/13 15:46:29.025,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,290.0,nil,0,1162.2762962962966,290.0,290.5690740740741,,
5/13 15:46:29.461,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee MH Crit,927.0,1,1.0,,434.16,1596.4362962962966,,,,
5/13 15:46:29.634,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,73.0,nil,0,217.08000000000004,73.0,72.36000000000001,,
5/13 15:46:30.542,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,266.0,nil,0,1330.363580246914,266.0,266.0727160493828,,
5/13 15:46:30.542,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,72.0,nil,0,144.72000000000003,72.0,72.36000000000001,,
5/13 15:46:30.790,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee OH Crit,580.0,1,1.0,,271.35,1601.7135802469138,,,,
5/13 15:46:31.629,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,72.0,nil,0,72.36000000000001,72.0,72.36000000000001,,
5/13 15:46:31.820,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,267.0,nil,0,1334.761316872428,267.0,266.95226337448565,,
5/13 15:46:32.031,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,0000000000000000,450.0,nil,1.0,,,,,,,
5/13 15:46:32.637,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,73.0,nil,0,0.0,73.0,72.36000000000001,,
5/13 15:46:32.811,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,267.0,nil,0,1067.8090534979424,267.0,266.95226337448565,,
5/13 15:46:32.811,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Bloodthirst,118.0,0,2447.0,1,434.16,1501.9690534979425,,,,
5/13 15:46:33.858,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,250.0,nil,0,1251.640877914952,250.0,250.3281755829904,,
5/13 15:46:34.499,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee MH Crit,927.0,1,1.0,,434.16,1685.800877914952,,,,
5/13 15:46:34.596,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Whirlwind,118.0,0,602.0,nil,,,,,,
5/13 15:46:34.596,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Whirlwind,118.0,0,603.0,nil,,,,,,
5/13 15:46:34.596,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Whirlwind,118.0,0,603.0,nil,,,,,,
5/13 15:46:34.596,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Whirlwind,118.0,0,377.0,nil,,,,,,
5/13 15:46:34.596,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Whirlwind,118.0,0,856.0,1,271.35,271.3500000000001,,,,
5/13 15:46:34.596,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Whirlwind,118.0,0,857.0,1,271.35,271.35,,,,
5/13 15:46:35.562,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,281.0,nil,0,1404.8340649291267,281.0,280.96681298582536,,
5/13 15:46:35.562,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,45.0,nil,0,226.12500000000003,45.0,45.225,,
5/13 15:46:35.562,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,46.0,nil,0,226.12500000000006,46.0,45.225000000000016,,
5/13 15:46:35.810,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,0000000000000000,281.0,nil,1.0,,,,,,,
5/13 15:46:36.581,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,281.0,nil,0,1123.8672519433014,281.0,280.96681298582536,,
5/13 15:46:36.581,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,45.0,nil,0,180.90000000000003,45.0,45.225,,
5/13 15:46:36.581,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,45.0,nil,0,180.90000000000003,45.0,45.225000000000016,,
5/13 15:46:36.854,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Bloodthirst,118.0,0,1078.0,nil,,,,,,
5/13 15:46:37.589,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,281.0,nil,0,842.9004389574761,281.0,280.96681298582536,,
5/13 15:46:37.589,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,45.0,nil,0,135.675,45.0,45.225000000000016,,
5/13 15:46:37.589,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,45.0,nil,0,135.67500000000004,45.0,45.225,,
5/13 15:46:38.360,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,0000000000000000,277.0,nil,1.0,,,,,,,
5/13 15:46:38.584,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,281.0,nil,0,561.9336259716508,281.0,280.96681298582536,,
5/13 15:46:38.584,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,46.0,nil,0,90.44999999999999,46.0,45.225000000000016,,
5/13 15:46:38.584,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,45.0,nil,0,90.45000000000005,45.0,45.225,,
5/13 15:46:39.514,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,280.0,nil,0,280.96681298582547,280.0,280.96681298582536,,
5/13 15:46:39.620,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,45.0,nil,0,45.225000000000044,45.0,45.225,,
5/13 15:46:39.620,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,45.0,nil,0,45.22499999999997,45.0,45.225000000000016,,
5/13 15:46:39.901,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,0000000000000000,415.0,nil,1.0,,,,,,,
5/13 15:46:40.581,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,281.0,nil,0,1.1368683772161603e-13,281.0,280.96681298582536,,
5/13 15:46:40.581,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,46.0,nil,0,-4.263256414560601e-14,46.0,45.225000000000016,,
5/13 15:46:40.581,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,45.0,nil,0,4.263256414560601e-14,45.0,45.225,,
5/13 15:46:40.855,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Bloodthirst,118.0,0,1077.0,nil,,,,,,
5/13 15:46:41.502,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,0000000000000000,282.0,nil,1.0,,,,,,,
5/13 15:46:43.665,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Whirlwind,118.0,0,603.0,nil,,,,,,
5/13 15:46:43.665,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Whirlwind,118.0,0,603.0,nil,,,,,,
5/13 15:46:43.665,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Whirlwind,118.0,0,603.0,nil,,,,,,
5/13 15:46:43.665,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Whirlwind,118.0,0,376.0,nil,,,,,,
5/13 15:46:43.665,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Whirlwind,118.0,0,377.0,nil,,,,,,
5/13 15:46:43.665,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Whirlwind,118.0,0,376.0,nil,,,,,,
5/13 15:46:44.643,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,0000000000000000,281.0,nil,1.0,,,,,,,
5/13 15:46:46.202,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee MH Crit,927.0,1,1.0,,434.16,434.16000000000014,,,,
5/13 15:46:46.602,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Bloodthirst,118.0,0,2448.0,1,434.16,868.3200000000002,,,,
5/13 15:46:47.470,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee OH Crit,580.0,1,1.0,,271.35,1139.67,,,,
5/13 15:46:48.511,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,190.0,nil,0,949.725,190.0,189.94500000000002,,
5/13 15:46:48.667,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee MH Crit,927.0,1,1.0,,434.16,1383.885,,,,
5/13 15:46:49.684,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,231.0,nil,0,1153.2375,231.0,230.6475,,
5/13 15:46:50.561,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Bloodthirst,118.0,0,2447.0,1,434.16,1587.3975,,,,
5/13 15:46:51.581,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,264.0,nil,0,1322.83125,264.0,264.56625,,
5/13 15:46:52.513,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee OH Crit,580.0,1,1.0,,271.35,1594.18125,,,,
5/13 15:46:53.564,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,265.0,nil,0,1328.484375,265.0,265.69687500000003,,
5/13 15:46:54.570,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,266.0,nil,0,1062.7875,266.0,265.69687500000003,,
5/13 15:46:54.570,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Bloodthirst,118.0,0,1077.0,nil,,,,,,
5/13 15:46:55.019,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,0000000000000000,281.0,nil,1.0,,,,,,,
5/13 15:46:55.565,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,266.0,nil,0,797.0906249999998,266.0,265.69687500000003,,
5/13 15:46:56.210,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee MH Crit,927.0,1,1.0,,434.16,1231.250625,,,,
5/13 15:46:56.673,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Whirlwind,118.0,0,1370.0,1,434.16,1665.410625,,,,
5/13 15:46:56.673,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Whirlwind,118.0,0,1371.0,1,434.16,434.15999999999997,,,,
5/13 15:46:56.673,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Whirlwind,118.0,0,603.0,nil,,,,,,
5/13 15:46:56.673,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Whirlwind,118.0,0,377.0,nil,,,,,,
5/13 15:46:56.673,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Whirlwind,118.0,0,377.0,nil,,,,,,
5/13 15:46:56.673,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Whirlwind,118.0,0,377.0,nil,,,,,,
5/13 15:46:57.571,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,0000000000000000,258.0,nil,1.0,,,,,,,
5/13 15:46:57.713,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,72.0,nil,0,361.79999999999995,72.0,72.36,,
5/13 15:46:57.713,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,277.0,nil,0,1387.8421875,277.0,277.5684375,,
5/13 15:46:58.675,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,278.0,nil,0,1110.2737499999998,278.0,277.5684375,,
5/13 15:46:58.675,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,72.0,nil,0,289.43999999999994,72.0,72.36,,
5/13 15:46:58.808,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee MH Crit,927.0,1,1.0,,434.16,1544.43375,,,,
5/13 15:46:59.634,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,73.0,nil,0,217.07999999999993,73.0,72.36,,
5/13 15:46:59.837,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,257.0,nil,0,1287.0281249999998,257.0,257.405625,,
5/13 15:47:00.100,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,0000000000000000,273.0,nil,1.0,,,,,,,
5/13 15:47:00.710,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,73.0,nil,0,144.7199999999999,73.0,72.36,,
5/13 15:47:00.830,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,258.0,nil,0,1029.6225,258.0,257.405625,,
5/13 15:47:01.704,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,72.0,nil,0,72.35999999999991,72.0,72.36,,
5/13 15:47:01.803,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,257.0,nil,0,772.216875,257.0,257.405625,,
5/13 15:47:02.619,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee OH Crit,579.0,1,1.0,,271.35,1043.566875,,,,
5/13 15:47:02.722,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,72.0,nil,0,-8.526512829121202e-14,72.0,72.36,,
5/13 15:47:03.292,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Bloodthirst,118.0,0,1077.0,nil,,,,,,
5/13 15:47:03.634,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,174.0,nil,0,869.6390625,174.0,173.9278125,,
5/13 15:47:04.647,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,174.0,nil,0,695.7112500000001,174.0,173.9278125,,
5/13 15:47:04.764,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Whirlwind,118.0,0,1370.0,1,434.16,1129.8712500000001,,,,
5/13 15:47:04.764,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Whirlwind,118.0,0,604.0,nil,,,,,,
5/13 15:47:04.764,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Whirlwind,118.0,0,1371.0,1,434.16,434.1600000000001,,,,
5/13 15:47:04.764,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Whirlwind,118.0,0,856.0,1,271.35,1401.22125,,,,
5/13 15:47:04.764,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Whirlwind,118.0,0,856.0,1,271.35,271.3499999999999,,,,
5/13 15:47:04.764,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Whirlwind,118.0,0,857.0,1,271.35,705.5100000000001,,,,
5/13 15:47:05.068,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee OH Crit,579.0,1,1.0,,271.35,1672.57125,,,,
5/13 15:47:05.824,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,118.0,nil,0,587.9250000000001,118.0,117.58500000000002,,
5/13 15:47:05.824,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,46.0,nil,0,226.12499999999991,46.0,45.22499999999999,,
5/13 15:47:06.169,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,278.0,nil,0,1393.809375,278.0,278.761875,,
5/13 15:47:06.837,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Deep Wound,118.0,0,45.0,nil,0,180.89999999999992,45.0,45.22499999999999,,
5/13 15:47:06.837,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Deep Wound,118.0,0,118.0,nil,0,470.34000000000003,118.0,117.58500000000002,,
5/13 15:47:07.098,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,279.0,nil,0,1115.0475000000001,279.0,278.761875,,
5/13 15:47:07.668,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee OH Crit,579.0,1,1.0,,271.35,1386.3975,,,,
